acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,searchCondition,pageIndex,recordCountPerPage,searchConditionText,searchKeyword,pageUnit,zoneYn
2016010100100177,00,2016,2016년  1월  1일,5,금요일,01,주간,09,09시,4672032000,전라남도 곡성군 삼기면,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,03,안전거리미확보,974549,1692529,04,안개,299,단일로 - 기타,Y,01,사망사고,1,4,62,0,100,원동기 자전거 이상,120,승합,100,사망,100,사망,40,40세,1,남,100,원동기 자전거 이상,120,승합,200,부상,220,경상,43,43세,1,남,없음,05,포장 - 기타,호남고속도로 41.9KM(천안 방면) 호남고속도로 41.9KM(천안 방면),,101,25,호남고속도로,20160000011840,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016010300100104,00,2016,2016년  1월  3일,7,일요일,01,주간,08,08시,4418033000,충청남도 보령시 천북면,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,918021,1833558,04,안개,299,단일로 - 기타,Y,01,사망사고,1,1,2,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,42,42세,1,남,500,보행자,500,보행자,100,사망,100,사망,42,42세,1,남,없음,02,포장 - 습기,212k 상행선,,101,15,서해안고속도로,20160000021741,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016010700100314,00,2016,2016년  1월  7일,4,목요일,01,주간,15,15시,2811014500,인천광역시 중구 중산동,200,차대차,230,추돌,232,차대차 - 추돌 - 주정차중,06,안전운전불이행,914617,1946682,01,맑음,299,단일로 - 기타,Y,01,사망사고,2,2,3,4,100,원동기 자전거 이상,120,승합,300,상해없음,300,상해없음,54,54세,1,남,100,원동기 자전거 이상,110,승용,200,부상,210,중상,41,41세,2,여,없음,01,포장 - 건조,신공항고속도로 7.95km(공항방면),,101,130,인천국제공항고속도로,20160000272340,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016010800100066,00,2016,2016년  1월  8일,5,금요일,02,야간,04,04시,4717036026,경상북도 안동시 남후면,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,1099731,1835187,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,1,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,39,39세,1,남,100,원동기 자전거 이상,130,화물,200,부상,220,경상,47,47세,1,남,없음,01,포장 - 건조,중앙고속도로 상행선 183.7km,,101,55,중앙고속도로,20160000351940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016011100100207,00,2016,2016년  1월 11일,1,월요일,01,주간,12,12시,4713033028,경상북도 경주시 내남면,200,차대차,230,추돌,232,차대차 - 추돌 - 주정차중,06,안전운전불이행,1153419,1753174,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,140,특수,300,상해없음,300,상해없음,52,52세,1,남,100,원동기 자전거 이상,110,승용,100,사망,100,사망,31,31세,1,남,없음,01,포장 - 건조,경부고속도로 부산기점 63.1km 상행선,,101,1,경부고속도로,20160000471940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016011100100265,00,2016,2016년  1월 11일,1,월요일,01,주간,14,14시,4684032028,전라남도 무안군 몽탄면,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,908561,1657254,01,맑음,230,단일로 - 터널,Y,01,사망사고,1,0,6,0,100,원동기 자전거 이상,120,승합,300,상해없음,300,상해없음,54,54세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,61,61세,1,남,없음,01,포장 - 건조,서해안고속도로 목포방향(하행선) 11.9km 지점 도로 (무안IC 에서 목포IC 방향),,101,15,서해안고속도로,20160000071741,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016011500100032,00,2016,2016년  1월 15일,5,금요일,02,야간,02,02시,4122012500,경기도 평택시 월곡동,200,차대차,220,측면직각충돌,220,차대차 - 측면직각충돌,06,안전운전불이행,970295,1886335,02,흐림,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,120,승합,300,상해없음,300,상해없음,34,34세,1,남,100,원동기 자전거 이상,110,승용,100,사망,100,사망,35,35세,2,여,없음,02,포장 - 습기,경부고속도로 상행선 360.5km지점 앞 노상(남아프리카참전비 앞),,101,1,경부고속도로,20160001151340,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016011800100068,00,2016,2016년  1월 18일,1,월요일,01,주간,06,06시,4827010800,경상남도 밀양시 가곡동,200,차대차,220,측면직각충돌,220,차대차 - 측면직각충돌,03,안전거리미확보,1115703,1721166,01,맑음,240,단일로 - 교량,Y,01,사망사고,1,1,5,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,47,47세,2,여,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,55,55세,1,남,없음,01,포장 - 건조,중앙고속도로 대구방면 41.9km지점,,101,55,중앙고속도로,20160000631240,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016011900100236,00,2016,2016년  1월 19일,2,화요일,01,주간,12,12시,4518038000,전라북도 정읍시 정우면,200,차대차,299,기타,299,차대차 - 기타,06,안전운전불이행,942539,1734216,05,눈,299,단일로 - 기타,Y,01,사망사고,1,2,5,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,47,47세,1,남,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,36,36세,1,남,없음,03,포장 - 결빙,호남고속도로 천안 방향 133km 지점 편도2차로, 적설,,101,25,호남고속도로,20160000371840,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016012100100538,00,2016,2016년  1월 21일,4,목요일,02,야간,23,23시,4155034024,경기도 안성시 미양면,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,972324,1881839,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,1,0,0,100,원동기 자전거 이상,130,화물,100,사망,100,사망,60,60세,1,남,100,원동기 자전거 이상,130,화물,200,부상,210,중상,44,44세,1,남,없음,01,포장 - 건조,경부고속도로 하행 355.8km,,101,1,경부고속도로,20160001811340,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
